game_id,attempts_before_win
0,15
1,709
2,10
3,83
4,143
5,70
6,74
7,67
8,4
9,17
10,27
11,291
12,250
13,182
14,92
15,265
16,31
17,1242
18,56
19,86
20,261
21,77
22,77
23,75
24,17
25,16
26,12
27,227
28,124
29,130
30,116
31,0
32,117
33,107
34,93
35,49
36,89
37,666
38,207
39,56
40,199
41,107
42,93
43,205
44,249
45,102
46,15
47,156
48,85
49,0
50,24
51,0
52,40
53,10
54,5
55,131
56,126
57,22
58,7
59,67
60,87
61,401
62,114
63,29
64,5
65,23
66,173
67,27
68,23
69,17
70,91
71,64
72,115
73,30
74,21
75,4
76,56
77,264
78,322
79,19
80,24
81,4
82,54
83,212
84,129
85,6
86,20
87,205
88,62
89,383
90,154
91,90
92,309
93,11
94,49
95,251
96,59
97,162
98,129
99,37
100,70
101,61
102,56
103,190
104,87
105,40
106,130
107,43
108,98
109,117
110,33
111,695
112,239
113,137
114,60
115,148
116,212
117,122
118,57
119,63
120,73
121,91
122,276
123,40
124,61
125,119
126,651
127,18
128,104
129,17
130,67
131,91
132,72
133,170
134,197
135,171
136,261
137,51
138,174
139,300
140,39
141,30
142,168
143,51
144,34
145,26
146,286
147,140
148,147
149,149
150,166
151,37
152,134
153,292
154,11
155,9
156,107
157,143
158,61
159,22
160,14
161,123
162,103
163,235
164,41
165,30
166,120
167,42
168,274
169,356
170,31
171,94
172,45
173,89
174,270
175,94
176,80
177,45
178,202
179,127
180,3
181,10
182,63
183,15
184,105
185,125
186,179
187,368
188,168
189,214
190,49
191,66
192,40
193,9
194,39
195,19
196,15
197,287
198,39
199,32
200,363
201,43
202,112
203,40
204,503
205,12
206,4
207,19
208,9
209,15
210,239
211,78
212,20
213,170
214,41
215,8
216,38
217,190
218,2
219,47
220,89
221,9
222,29
223,163
224,76
225,118
226,87
227,267
228,93
229,31
230,21
231,63
232,6
233,28
234,55
235,38
236,113
237,115
238,3
239,421
240,265
241,433
242,233
243,39
244,194
245,98
246,340
247,70
248,16
249,85
250,257
251,140
252,330
253,170
254,41
255,311
256,1
257,35
258,14
259,202
260,56
261,361
262,55
263,256
264,56
265,296
266,174
267,102
268,34
269,59
270,10
271,213
272,14
273,125
274,3
275,38
276,56
277,23
278,37
279,32
280,44
281,19
282,15
283,5
284,21
285,33
286,205
287,246
288,15
289,241
290,126
291,103
292,161
293,293
294,211
295,18
296,514
297,33
298,48
299,661
300,55
301,21
302,64
303,91
304,23
305,4
306,107
307,51
308,526
309,97
310,237
311,295
312,64
313,104
314,32
315,488
316,93
317,116
318,284
319,117
320,27
321,15
322,137
323,376
324,394
325,90
326,91
327,263
328,213
329,160
330,36
331,152
332,202
333,133
334,29
335,10
336,94
337,125
338,3
339,225
340,193
341,234
342,162
343,15
344,108
345,300
346,53
347,72
348,106
349,175
350,40
351,93
352,33
353,96
354,139
355,210
356,257
357,195
358,221
359,94
360,109
361,58
362,246
363,60
364,136
365,39
366,75
367,52
368,34
369,228
370,44
371,135
